CANTOR,CÓD,TÍTULO,INÍCIO DA LETRA,CART
MC WM,17075,FOGO NA GASOLINA ,Quando eu mandei você sentar,35D
10 CC,4920,I'M NOT IN LOVE ,'Im not in love so don't forget it,USA
"10,000 MANIACS",19807,MORE THAN THIS ,Icould feel at the time,INT10A
14 BIS,3755,LINDA JUVENTUDE ,"Zabelê, zumbi, besouro vespa fabricando",BRA
14 BIS,6074,PLANETA SONHO ,Aqui ninguém mais ficará depois do sol...,BRA
14 BIS,7392,NATURAL ,Penso em você no seu jeito,BRA
14 BIS,7693,ROMANCE ,Flores simples,IMP 11
14 BIS,9556,UMA VELHA CANÇÃO ROCK'N'ROLL,Olhe oh oh oh venha solte seu corpo n,IMP 13
14 BIS,6197,TODO AZUL DO MAR ,Foi assim como ver o mar ...,BRA
14 BIS,1039,BOLA DE MEIA BOLA DE GUDE INF,--,EUA
3 DOORS DOWN,9033,HERE WITHOUT YOU ,Ahundred days had made me older,USA
30 SECONDS TO MARS,20379,THE KILL (BURY ME) ,What if I wanted to break,INT 13
365,6549,SÃO PAULO ,Tem dias que eu digo não….,BRA
4 NON BLONDES,2578,SPACEMAN ,Starry night bring me down,EUA 3
4 NON BLONDES,9072,WHAT'S UP ,Twenty-five years and my life is still,USA
5 SECONDS OF SUMMER,19852,SHE LOOKS SO PERFECT ,He-ey e-hey... Simmer down simmer down,INT10B
5 SECONDS OF SUMMER,20533,COMPLETE MESS ,Caught up in heaven but your heaven,INT14K
A BANDA MAIS BONITA DA A BANDA MAIS BONITA DA CIDADE,2748,ORAÇÃ,Omeu amor essa é a última oração,IMP 21
A COR DO SOM,6402,ABRI A PORTA ,Abri a porta apareci...,BRA
A COR DO SOM,7175,MENINO DEUS ,Menino Deus um corpo azul-dourado,BRA
A COR DO SOM,7480,ZANZIBAR ,No azul de Jezebel no céu de,BRA
A COR DO SOM,17247,SEMENTE DO AMOR ,Sim é como a flor de água e ar luz e calor,IMP 37
A TEENS,4938,MAMMA MIA I,'ve being cheated by you since I don't,USA
A TEENS,4970,SUPER TROUPER ,Super trouper beams are gonna blind me,USA
A TURMA DO BALÃO MÁGICO,1543,BRUXINHA ,Ôbruxinha bonitinha da vassoura de,IMP 18
A TURMA DO MÔNICA,7548,SER CRIANÇA É BOM ,Ser criança é bom ser criança faz bem...,INF
A VIGÍLIA,5614,JEOVÁ É O TEU CAVALEIRO ,Jeová é o teu cavaleiro que...,EVAN
A VIGÍLIA,5617,JESUS TE ENTRONIZAMOS ,Jesus nesta noite...,EVAN
A VIGÍLIA,5636,RENOVA-ME ,Renova-me Senhor Jesus já não quero...,EVAN
A VIGÍLIA 2,5608,ESTAMOS AQUI ,Estamos aqui na casa de Deus...,EVAN
A ZORRA,9574,ACORDA ESPERANÇA ,Sei,IMP146
A-HA,4973,TAKE ON ME ,We're talking away,USA
A-HA,19400,YOU ARE THE ONE ,You are the one who has done me in,INT 7
A-HA,19853,STAY ON THESE ROADS ,Cold has a voice,INT10B
A-HA,20034,THERE'S NEVER A FOREVER THING,Dearest close your eyes now,INT11B
A-HA,20094,CHORANDO NA CHUVA ,Eu nunca vou deixar você ver,INT11D
